# hindsight — drug-event pairs over one FAERS partition
# partition: 2025q1/0001-of-0028
# export_date: 2026-08-10
# min_count: 3
# crowding_cut: 27 distinct drugs (the 0.99 quantile of this partition)
# Read with comment='#'. Counts are distinct reports.
"drug","event","a","b","c","d","prr","chi2","signal","crowding","crowded"
"NAPROXEN SODIUM","Onychomycosis","7","21","3","11969","997.667","1803.445","1","84.0","1"
"CORTISONE ACETATE","Lupus vulgaris","5","25","2","11968","997.5","1151.71","1","56.0","1"
"HYDROXYCHLOROQUINE","Onychomadesis","8","89","1","11902","981.691","765.022","1","77.5","1"
"DICLOFENAC SODIUM","Lupus vulgaris","6","67","1","11926","980.301","704.106","1","52.0","1"
"CIMZIA","Onychomadesis","7","36","2","11955","973.244","1302.752","1","77.0","1"
"CERTOLIZUMAB PEGOL","Lupus vulgaris","5","26","2","11967","965.242","1114.361","1","56.0","1"
"GOLD SODIUM THIOMALATE","Peripheral venous disease","10","8","7","11975","950.952","3530.531","1","75.0","1"
"CALCIUM GLUBIONATE","Adverse reaction","5","16","3","11976","950.714","1440.923","1","77.0","1"
"OXYCODONE TEREPHTHALATE","Onychomycosis","6","13","4","11977","945.868","1904.141","1","86.5","1"
"ACETAMINOPHEN AND CODEINE","X-ray abnormal","3","16","2","11979","945.868","786.053","1","67.0","1"
"DARATUMUMAB","Aortitis","3","16","2","11979","945.868","786.053","1","10.0","0"
"NICOTINE","Female genital tract fistula","3","16","2","11979","945.868","786.053","1","92.0","1"
"NICOTINE","Radiculopathy","3","16","2","11979","945.868","786.053","1","92.0","1"
"PHTHALYLSULFATHIAZOLE","Facet joint syndrome","11","17","5","11967","940.657","2942.944","1","73.0","1"
"AIMOVIG","Nail disorder","8","26","3","11963","938.51","1796.576","1","75.0","1"
"PERIOGARD","Onychomadesis","5","11","4","11980","936.25","1682.015","1","77.0","1"
"FLUMETHASONE PIVALATE","Rheumatic fever","12","10","7","11971","933.351","3786.612","1","74.0","1"
"FLUMETHASONE PIVALATE","Wound infection","12","10","7","11971","933.351","3786.612","1","74.0","1"
"CHERATUSSIN AC","Dependence","3","0","13","11984","922.846","1559.973","1","9.0","0"
"OXYMORPHONE HYDROCHLORIDE","Dependence","3","0","13","11984","922.846","1559.973","1","11.0","0"
"PSEUDOEPHEDRINE HYDROCHLORIDE","Onychomadesis","6","20","3","11971","921.077","1544.805","1","75.0","1"
"COSENTYX","Breast cancer stage III","14","77","2","11907","916.077","1488.439","1","68.5","1"
"COSENTYX","Swollen joint count increased","7","84","1","11908","916.077","689.171","1","73.0","1"
"MEGLUMINE","Nail disorder","5","6","6","11983","908.258","2002.945","1","73.0","1"
"FLUMETHASONE PIVALATE","Helicobacter infection","15","7","9","11969","907.424","4767.712","1","73.0","1"
"FLUMETHASONE PIVALATE","Facet joint syndrome","10","12","6","11972","907.424","3067.44","1","71.5","1"
"FLUMETHASONE PIVALATE","Adverse reaction","5","17","3","11975","907.424","1375.133","1","77.0","1"
"BOTULINUM TOXIN TYPE A","Breast cancer stage III","9","8","7","11976","906.277","3179.26","1","73.0","1"
"CREON","Pancreatic disorder","4","49","1","11946","901.66","550.398","1","1.0","0"
"DESOGESTREL\ETHINYL ESTRADIOL","Back disorder","3","2","8","11987","899.625","1360.454","1","73.0","1"
"DESOGESTREL\ETHINYL ESTRADIOL","Sleep disorder due to general medical condition, insomnia type","3","2","8","11987","899.625","1360.454","1","73.0","1"
"DEXCHLORPHENIRAMINE","Hypogammaglobulinaemia","3","2","8","11987","899.625","1360.454","1","8.0","0"
"ALENDRONATE SODIUM\CHOLECALCIFEROL","Adverse reaction","3","5","5","11987","899.4","1168.438","1","77.0","1"
"FLUMETHASONE","Adverse reaction","3","5","5","11987","899.4","1168.438","1","84.0","1"
"TOFACITINIB CITRATE","Ulcer haemorrhage","3","17","2","11978","898.5","746.563","1","73.0","1"
"CETIRIZINE HYDROCHLORIDE\PSEUDOEPHEDRINE HYDROCHLORIDE","Rheumatoid factor positive","9","15","5","11971","898.2","2571.522","1","70.0","1"
"ALENDRONATE SODIUM","Onychomadesis","7","40","2","11951","890.117","1191.172","1","77.0","1"
"FIRAZYR","Hereditary angioedema","4","2","9","11985","888.444","1880.598","1","3.5","0"
"RIBOFLAVIN","Finger deformity","4","5","6","11985","888.222","1628.919","1","85.0","1"
"ATOMOXETINE HYDROCHLORIDE","Peripheral venous disease","8","4","9","11979","888.0","3301.815","1","70.0","1"
"SIMPONI","Onychomycosis","8","46","2","11944","884.889","1241.663","1","77.5","1"
"SIMPONI","X-ray abnormal","4","50","1","11945","884.889","540.122","1","70.0","1"
"DESOXIMETASONE","Lupus vulgaris","5","29","2","11964","879.853","1015.496","1","56.0","1"
"NUCALA","Adverse reaction","6","35","2","11957","875.049","1100.225","1","75.0","1"
"ADVAIR HFA","Dust allergy","3","38","1","11958","875.049","454.033","1","53.0","1"
"CETIRIZINE HYDROCHLORIDE\PSEUDOEPHEDRINE HYDROCHLORIDE","Nail disorder","7","17","4","11972","873.25","1913.053","1","73.0","1"
"ARAVA","Onychomycosis","7","25","3","11965","872.667","1576.917","1","84.0","1"
"AZATHIOPRINE SODIUM","Hypercholesterolaemia","4","1","11","11984","872.364","1956.266","1","75.0","1"
"MEGLUMINE","Onychomadesis","4","7","5","11984","871.927","1480.323","1","81.0","1"
"DICLOFENAC SODIUM","Wound infection","16","57","3","11924","871.379","2063.503","1","67.5","1"
"FLUMETHASONE PIVALATE","Blepharospasm","8","14","5","11973","871.127","2352.019","1","80.5","1"
"FLUMETHASONE PIVALATE","Grip strength decreased","8","14","5","11973","871.127","2352.019","1","74.0","1"
"LETROZOLE","Breast cancer metastatic","4","51","1","11944","868.727","530.218","1","4.0","0"
"MYRBETRIQ","Blepharospasm","9","22","4","11965","868.718","2142.247","1","77.0","1"
"CHLORHEXIDINE GLUCONATE","Adverse reaction","5","18","3","11974","867.899","1315.063","1","77.0","1"
"ISOPROPYL ALCOHOL","Adverse reaction","5","18","3","11974","867.899","1315.063","1","77.0","1"
"SULFASALAZINE","Lupus vulgaris","6","77","1","11916","861.47","618.469","1","52.0","1"
"AZATHIOPRINE SODIUM","Rheumatic fever","5","0","14","11981","856.786","2554.009","1","77.0","1"
"ACTONEL","Ischaemic stroke","3","3","7","11987","856.714","1246.667","1","12.0","0"
"NADOLOL","Chronic sinusitis","3","4","6","11987","856.643","1187.064","1","92.0","1"
"ALENDRONATE SODIUM\CHOLECALCIFEROL","Nail disorder","4","4","7","11985","856.571","1666.099","1","83.0","1"
"ATOMOXETINE HYDROCHLORIDE","Blepharospasm","6","6","7","11981","856.286","2320.768","1","75.0","1"
"MYOCHRYSINE","Normal newborn","4","10","4","11982","856.143","1307.906","1","84.0","1"
"NICOTINAMIDE","Normal newborn","4","10","4","11982","856.143","1307.906","1","84.0","1"
"DICLOFENAC DIETHYLAMINE","Breast cancer stage III","9","9","7","11975","855.857","3001.94","1","67.0","1"
"BERINERT","Peripheral venous disease","10","10","7","11973","855.714","3176.108","1","75.0","1"
"APREMILAST","Onychomycosis","6","15","4","11975","855.643","1722.035","1","83.5","1"
"CALCIUM GLUBIONATE","Finger deformity","6","15","4","11975","855.643","1722.035","1","80.5","1"
"RANITIDINE","Onychomycosis","6","15","4","11975","855.643","1722.035","1","86.5","1"
"ENTYVIO","Female genital tract fistula","3","18","2","11977","855.643","710.834","1","92.0","1"
"ENTYVIO","Radiculopathy","3","18","2","11977","855.643","710.834","1","92.0","1"
"KISQALI","Breast cancer metastatic","3","18","2","11977","855.643","710.834","1","3.0","0"
"POSACONAZOLE","Pulmonary mucormycosis","3","18","2","11977","855.643","710.834","1","6.0","0"
"ALENDRONIC ACID","Muscle injury","12","16","6","11966","855.143","3137.869","1","71.0","1"
"ALENDRONIC ACID","Onychomadesis","6","22","3","11969","855.143","1433.916","1","80.5","1"
"DESOXIMETASONE","Pemphigus","17","17","7","11959","854.714","3990.007","1","70.0","1"
"TRAMADOL HYDROCHLORIDE","Onychomadesis","7","42","2","11949","853.643","1142.214","1","78.0","1"
"OCREVUS","Cystitis noninfective","3","40","1","11956","834.209","432.755","1","7.0","0"
"ATOMOXETINE HYDROCHLORIDE","Nail disorder","5","7","6","11982","832.5","1835.436","1","73.0","1"
"CALCIUM ASCORBATE","Nail disorder","5","7","6","11982","832.5","1835.436","1","84.0","1"
"GOLD","Nail disorder","5","7","6","11982","832.5","1835.436","1","73.0","1"
"PHENYLEPHRINE HYDROCHLORIDE","Nail disorder","5","7","6","11982","832.5","1835.436","1","84.0","1"
"CETIRIZINE HYDROCHLORIDE\PSEUDOEPHEDRINE HYDROCHLORIDE","C-reactive protein abnormal","10","14","6","11970","831.667","2810.706","1","75.0","1"
"CETIRIZINE HYDROCHLORIDE\PSEUDOEPHEDRINE HYDROCHLORIDE","Dislocation of vertebra","5","19","3","11973","831.667","1259.999","1","70.0","1"
"DOMPERIDONE MALEATE","Adverse reaction","5","19","3","11973","831.667","1259.999","1","77.0","1"
"CETIRIZINE HYDROCHLORIDE\PSEUDOEPHEDRINE HYDROCHLORIDE","Helicobacter infection","15","9","9","11967","831.667","4368.714","1","73.0","1"
"AIMOVIG","Finger deformity","7","27","3","11963","821.196","1483.641","1","77.0","1"
"DESOXIMETASONE","Finger deformity","7","27","3","11963","821.196","1483.641","1","77.0","1"
"FOSAMAX","Onychomycosis","7","27","3","11963","821.196","1483.641","1","84.0","1"
"FLUMETHASONE PIVALATE","Hypercholesterolaemia","9","13","6","11972","816.682","2618.368","1","75.0","1"
"FLUMETHASONE PIVALATE","Finger deformity","6","16","4","11974","816.682","1643.398","1","80.5","1"
"FLUMETHASONE PIVALATE","Ulcer haemorrhage","3","19","2","11976","816.682","678.353","1","73.0","1"
"ERELZI","Swollen joint count increased","6","38","2","11954","815.182","1024.717","1","74.0","1"
"VALSARTAN","Proctitis","3","41","1","11955","815.182","422.842","1","92.0","1"
"VALSARTAN","Vaginal flatulence","3","41","1","11955","815.182","422.842","1","92.0","1"
"DESOXIMETASONE","Anti-cyclic citrullinated peptide antibody positive","16","18","7","11959","804.437","3673.194","1","66.5","1"
"ALENDRONIC ACID","Anti-cyclic citrullinated peptide antibody positive","15","13","8","11964","801.696","3905.336","1","66.0","1"
"PHTHALYLSULFATHIAZOLE","Anti-cyclic citrullinated peptide antibody positive","15","13","8","11964","801.696","3905.336","1","73.0","1"
"ENBREL","Nail disorder","9","58","2","11931","801.47","1167.032","1","73.0","1"
"AZATHIOPRINE SODIUM","Back injury","4","1","12","11983","799.667","1833.715","1","75.0","1"
"AZATHIOPRINE SODIUM","Breast cancer stage III","4","1","12","11983","799.667","1833.715","1","75.0","1"
"AZATHIOPRINE SODIUM","C-reactive protein abnormal","4","1","12","11983","799.667","1833.715","1","77.5","1"
"AZATHIOPRINE SODIUM","Facet joint syndrome","4","1","12","11983","799.667","1833.715","1","75.0","1"
"RIBOFLAVIN","Adverse reaction","3","6","5","11986","799.4","1038.143","1","84.0","1"
"BISACODYL","Vaginal discharge","3","12","3","11982","799.0","829.792","1","92.0","1"
"THYMOGLOBULIN","Enterocolitis viral","3","12","3","11982","799.0","829.792","1","7.0","0"
"CHLORHEXIDINE","Dislocation of vertebra","4","11","4","11981","799.0","1220.348","1","57.5","1"
"DICLOFENAC DIETHYLAMINE","Nail disorder","6","12","5","11977","798.8","1826.762","1","73.5","1"
"DOMPERIDONE MALEATE","Blepharospasm","8","16","5","11971","798.4","2155.128","1","80.5","1"
"VEDOLIZUMAB","Therapeutic reaction time decreased","9","125","1","11865","796.97","637.774","1","2.0","0"
"BOTULINUM TOXIN TYPE A","Peripheral venous disease","9","8","8","11975","792.993","2991.494","1","73.0","1"
"ACTEMRA","Onychomadesis","7","46","2","11945","788.953","1055.382","1","77.0","1"
"OXYCODONE TEREPHTHALATE","Onychomadesis","5","14","4","11977","788.224","1415.368","1","78.0","1"
"CETIRIZINE HYDROCHLORIDE\PSEUDOEPHEDRINE HYDROCHLORIDE","Muscle injury","11","13","7","11969","784.143","3052.21","1","73.0","1"
"CHLORHEXIDINE GLUCONATE","Finger deformity","6","17","4","11973","781.109","1571.599","1","80.5","1"
"ISOPROPYL ALCOHOL","Finger deformity","6","17","4","11973","781.109","1571.599","1","80.5","1"
"SULFAMETHOXAZOLE","Adjustment disorder with depressed mood","3","20","2","11975","781.109","648.697","1","70.0","1"
"SULFAMETHOXAZOLE","X-ray abnormal","3","20","2","11975","781.109","648.697","1","67.0","1"
"NUCALA","Nail disorder","8","33","3","11956","777.821","1488.156","1","75.0","1"
"GOLD SODIUM THIOMALATE","Grip strength decreased","7","11","6","11976","776.611","2159.261","1","73.0","1"
"SIMPONI","Onychomadesis","7","47","2","11944","774.278","1035.684","1","77.0","1"
"DESOXIMETASONE","Facet joint syndrome","11","23","5","11961","774.271","2421.109","1","73.0","1"
"BERINERT","Facet joint syndrome","9","11","7","11973","770.143","2700.497","1","73.0","1"
"ERELZI","Anti-cyclic citrullinated peptide antibody positive","17","27","6","11950","769.894","3213.263","1","67.0","1"
"SULFASALAZINE","Rheumatic fever","16","67","3","11914","765.751","1812.674","1","71.5","1"
"ALENDRONATE SODIUM","Adverse reaction","6","41","2","11951","762.957","958.849","1","75.0","1"
"MEGLUMINE","Peripheral venous disease","7","4","10","11979","762.936","2704.553","1","73.0","1"
"DESOXIMETASONE","Rheumatic fever","13","21","6","11960","762.539","2890.283","1","73.0","1"
"HAIR KERATIN AMINO ACIDS GOLD COMPLEX","Nail disorder","4","5","7","11984","761.333","1480.323","1","80.5","1"
"BUTRANS","Hypercholesterolaemia","8","10","7","11975","760.762","2491.87","1","75.0","1"
"GOLD SODIUM THIOMALATE","Hypercholesterolaemia","8","10","7","11975","760.762","2491.87","1","75.0","1"
"GOLIMUMAB","Lupus vulgaris","4","17","3","11976","760.571","995.334","1","63.0","1"
"PHTHALYLSULFATHIAZOLE","Hand deformity","16","12","9","11963","760.127","4105.744","1","70.0","1"
"ACTEMRA","Blepharospasm","10","43","3","11944","751.384","1561.481","1","73.0","1"
"TIOTROPIUM BROMIDE MONOHYDRATE","Obstructive airways disorder","3","0","16","11981","749.812","1313.201","1","53.0","1"
"PAZOPANIB","Metastases to bone","3","1","12","11984","749.75","1246.979","1","6.0","0"
"ATOMOXETINE","Onychomadesis","3","5","6","11986","749.5","1038.143","1","89.0","1"
"CEFTAZIDIME","Aplastic anaemia","3","9","4","11984","749.25","889.272","1","17.0","0"
"PERIOGARD","C-reactive protein abnormal","8","8","8","11976","749.0","2628.745","1","68.0","1"
"PERIOGARD","Finger deformity","5","11","5","11979","749.0","1513.04","1","77.0","1"
"PERIOGARD","Adverse reaction","4","12","4","11980","749.0","1143.735","1","75.0","1"
"PERIOGARD","Normal newborn","4","12","4","11980","749.0","1143.735","1","84.0","1"
"ABILIFY","Economic problem","3","13","3","11981","749.0","777.683","1","3.0","0"
"CETIRIZINE HYDROCHLORIDE\PSEUDOEPHEDRINE HYDROCHLORIDE","Hypercholesterolaemia","9","15","6","11970","748.5","2399.155","1","75.0","1"
"DOMPERIDONE MALEATE","Finger deformity","6","18","4","11972","748.5","1505.784","1","80.5","1"
"CETIRIZINE HYDROCHLORIDE\PSEUDOEPHEDRINE HYDROCHLORIDE","Ulcer haemorrhage","3","21","2","11974","748.5","621.511","1","73.0","1"
"DOXAZOSIN","Neurological symptom","3","21","2","11974","748.5","621.511","1","53.0","1"
"ARAVA","Helicobacter infection","16","16","8","11960","748.0","3740.406","1","71.5","1"
"CLARITHROMYCIN","Vaginal discharge","4","28","2","11966","748.0","761.05","1","61.5","1"
"ARAVA","Muscle injury","12","20","6","11962","748.0","2743.677","1","74.0","1"
"ARAVA","Onychomadesis","6","26","3","11965","748.0","1253.722","1","81.0","1"
"ORENCIA","Onychomycosis","9","135","1","11855","741.0","592.805","1","78.0","1"
"PSEUDOEPHEDRINE HYDROCHLORIDE","Blepharospasm","8","18","5","11969","736.862","1988.528","1","73.0","1"
"REMICADE","Onychomycosis","8","57","2","11933","734.462","1029.948","1","81.0","1"
"BELATACEPT","Epstein-Barr virus infection","3","4","7","11986","734.265","1067.947","1","6.0","0"
"HYDROCORTISONE PROBUTATE","Onychomycosis","3","4","7","11986","734.265","1067.947","1","91.0","1"
"NAPROSYN","Finger deformity","3","4","7","11986","734.265","1067.947","1","77.0","1"
"NICOTINAMIDE","Blepharospasm","6","8","7","11979","733.837","1987.991","1","80.5","1"
"ALENDRONIC ACID","Wound infection","12","16","7","11965","732.98","2971.755","1","66.5","1"
"PHTHALYLSULFATHIAZOLE","Rheumatic fever","12","16","7","11965","732.98","2971.755","1","74.0","1"
"PHTHALYLSULFATHIAZOLE","Wound infection","12","16","7","11965","732.98","2971.755","1","74.0","1"
"PHTHALYLSULFATHIAZOLE","Duodenal ulcer perforation","17","11","10","11962","726.871","4308.215","1","70.0","1"
"MEGLUMINE","Onychomycosis","4","7","6","11983","726.606","1331.702","1","90.0","1"
"MINOCYCLINE HYDROCHLORIDE","Finger deformity","4","7","6","11983","726.606","1331.702","1","75.0","1"
"FLUMETHASONE PIVALATE","Rheumatoid factor positive","8","14","6","11972","725.939","2183.129","1","71.5","1"
"ERELZI","Nail disorder","8","36","3","11953","724.606","1386.016","1","75.0","1"
"DESOGESTREL\ETHINYL ESTRADIOL","Grip strength decreased","3","2","10","11985","719.7","1150.577","1","73.0","1"
"ELOTUZUMAB","Cytomegalovirus infection reactivation","3","2","10","11985","719.7","1150.577","1","3.0","0"
"CHLORHEXIDINE GLUCONATE\ISOPROPYL ALCOHOL","Swollen joint count increased","3","7","5","11985","719.4","933.907","1","70.0","1"
"HYDROCORTISONE ACETATE","Swollen joint count increased","3","7","5","11985","719.4","933.907","1","73.0","1"
"DICLOFENAC POTASSIUM","Adjustment disorder with depressed mood","3","22","2","11973","718.5","596.501","1","48.0","1"
"HALOPERIDOL","Catatonia","3","22","2","11973","718.5","596.501","1","1.0","0"
"SULFASALAZINE","Helicobacter infection","20","63","4","11913","717.892","2272.056","1","70.0","1"
"CARBIDOPA\LEVODOPA","On and off phenomenon","3","47","1","11949","717.0","371.689","1","2.0","0"
"TOCILIZUMAB","Superficial vein thrombosis","3","47","1","11949","717.0","371.689","1","12.0","0"
"MYOCHRYSINE","Nail disorder","5","9","6","11980","713.452","1572.209","1","77.0","1"
"NICOTINAMIDE","Nail disorder","5","9","6","11980","713.452","1572.209","1","77.0","1"
"RANITIDINE","Onychomadesis","5","16","4","11975","713.036","1279.928","1","84.0","1"
"DOMPERIDONE MALEATE","Peripheral venous disease","10","14","7","11969","712.857","2644.474","1","75.0","1"
"NAPROXEN SODIUM","Facet joint syndrome","10","18","6","11966","712.619","2407.267","1","71.5","1"
"ALENDRONIC ACID","Swollen joint count increased","5","23","3","11969","712.619","1079.076","1","70.0","1"
"NAPROXEN SODIUM","Adverse reaction","5","23","3","11969","712.619","1079.076","1","77.0","1"
"PHTHALYLSULFATHIAZOLE","Adverse reaction","5","23","3","11969","712.619","1079.076","1","77.0","1"
"PHTHALYLSULFATHIAZOLE","Dislocation of vertebra","5","23","3","11969","712.619","1079.076","1","70.0","1"
"ALENDRONIC ACID","Helicobacter infection","15","13","9","11963","712.619","3741.717","1","67.0","1"
"ALENDRONIC ACID","Pemphigus","15","13","9","11963","712.619","3741.717","1","66.0","1"
"ENBREL","Finger deformity","8","59","2","11931","712.418","998.924","1","75.0","1"
"CELEBREX","Nail disorder","8","37","3","11952","708.444","1354.996","1","75.0","1"
"ERELZI","Muscle injury","13","31","5","11951","706.491","2354.643","1","73.0","1"
"CANDESARTAN","Nail disorder","9","67","2","11922","706.026","1027.595","1","73.0","1"
"HYDROMORPHONE HYDROCHLORIDE","Vaginal discharge","3","14","3","11980","704.882","731.705","1","92.0","1"
"BOTULINUM TOXIN TYPE A","Facet joint syndrome","8","9","8","11975","704.882","2473.438","1","73.0","1"
"MAGNESIUM CITRATE","Adverse reaction","4","13","4","11979","704.882","1076.135","1","75.0","1"
"MAGNESIUM CITRATE","Normal newborn","4","13","4","11979","704.882","1076.135","1","84.0","1"
"FOSAMAX","Onychomadesis","6","28","3","11963","703.882","1179.524","1","81.0","1"
"DESOXIMETASONE","Duodenal ulcer perforation","18","16","9","11957","703.882","3988.594","1","66.5","1"
"XELJANZ","Swollen joint count increased","7","112","1","11880","698.882","525.197","1","73.0","1"
"BERINERT","Grip strength decreased","7","13","6","11974","698.833","1942.36","1","73.0","1"
"CETIRIZINE HYDROCHLORIDE\PSEUDOEPHEDRINE HYDROCHLORIDE","Pemphigus","14","10","10","11966","698.6","3785.048","1","73.0","1"
"AVELUMAB","Acute myeloid leukaemia","3","1","13","11983","692.077","1168.828","1","4.0","0"
"PAZOPANIB","Metastases to lung","3","1","13","11983","692.077","1168.828","1","6.0","0"
"CAFFEINE","Lupus vulgaris","3","10","4","11983","691.558","820.55","1","56.0","1"
"PSEUDOEPHEDRINE HYDROCHLORIDE","Ulcer haemorrhage","3","23","2","11972","690.808","573.415","1","73.0","1"
"PSEUDOEPHEDRINE HYDROCHLORIDE","X-ray abnormal","3","23","2","11972","690.808","573.415","1","73.0","1"
"DOMPERIDONE MALEATE","Wound infection","11","13","8","11968","686.125","2890.703","1","70.0","1"
"AZATHIOPRINE SODIUM","Muscle injury","4","1","14","11981","685.429","1629.463","1","75.0","1"
"CHLORHEXIDINE GLUCONATE\ISOPROPYL ALCOHOL","Sleep disorder due to general medical condition, insomnia type","4","6","7","11983","685.143","1331.702","1","59.0","1"
