# hindsight — drug-event pairs over one FAERS partition
# partition: 2025q1/0001-of-0028
# export_date: 2026-08-10
# min_count: 3
# crowding_cut: 27 distinct drugs (the 0.99 quantile of this partition)
# Read with comment='#'. Counts are distinct reports.
"drug","event","a","b","c","d","prr","chi2","signal","crowding","crowded"
"FLUMETHASONE PIVALATE","Muscle injury","12","10","6","11972","1088.909","3997.924","1","74.0","1"
"FLUMETHASONE PIVALATE","Onychomadesis","6","16","3","11975","1088.909","1827.067","1","80.5","1"
"ERELZI","Onychomycosis","8","36","2","11954","1086.909","1525.99","1","81.0","1"
"KEVZARA","Adjustment disorder with depressed mood","4","40","1","11955","1086.909","663.91","1","71.5","1"
"COCAINE","Substance use disorder","9","16","4","11971","1077.75","2659.134","1","5.0","0"
"PSEUDOEPHEDRINE HYDROCHLORIDE","Onychomycosis","7","19","3","11971","1074.59","1942.847","1","77.0","1"
"ALENDRONIC ACID","Lupus vulgaris","5","23","2","11970","1068.929","1234.411","1","48.0","1"
"PHTHALYLSULFATHIAZOLE","Lupus vulgaris","5","23","2","11970","1068.929","1234.411","1","56.0","1"
"AZATHIOPRINE SODIUM","Blepharospasm","4","1","9","11986","1066.222","2257.93","1","75.0","1"
"AZATHIOPRINE SODIUM","Coeliac disease","4","1","9","11986","1066.222","2257.93","1","75.0","1"
"AZATHIOPRINE SODIUM","Grip strength decreased","4","1","9","11986","1066.222","2257.93","1","75.0","1"
"TAKHZYRO","Hereditary angioedema","4","1","9","11986","1066.222","2257.93","1","2.0","0"
"RIBOFLAVIN","Onychomadesis","4","5","5","11986","1065.867","1810.536","1","81.0","1"
"CORTISONE ACETATE","Nail disorder","8","22","3","11967","1064.0","2037.439","1","75.0","1"
"TRUVADA","Bone density decreased","13","8","7","11972","1059.367","4454.527","1","2.0","0"
"BOTULINUM TOXIN TYPE A","Finger deformity","6","11","4","11979","1057.324","2129.096","1","78.5","1"
"HYDROMORPHONE HYDROCHLORIDE","Female genital tract fistula","3","14","2","11981","1057.324","878.971","1","92.0","1"
"HYDROMORPHONE HYDROCHLORIDE","Radiculopathy","3","14","2","11981","1057.324","878.971","1","92.0","1"
"DESOXIMETASONE","Helicobacter infection","18","16","6","11960","1055.824","4490.423","1","70.0","1"
"AIMOVIG","Breast cancer stage III","12","22","4","11962","1055.824","2906.424","1","70.0","1"
"AIMOVIG","Adverse reaction","6","28","2","11964","1055.824","1328.228","1","75.0","1"
"DESOXIMETASONE","Adverse reaction","6","28","2","11964","1055.824","1328.228","1","75.0","1"
"DESOXIMETASONE","Swollen joint count increased","6","28","2","11964","1055.824","1328.228","1","71.5","1"
"FOSAMAX","Swollen joint count increased","6","28","2","11964","1055.824","1328.228","1","74.0","1"
"OTEZLA","Swollen joint count increased","6","28","2","11964","1055.824","1328.228","1","74.0","1"
"PERCOCET","Dependence","11","14","5","11970","1053.8","3297.792","1","5.0","0"
"OMALIZUMAB","Chronic spontaneous urticaria","4","42","1","11953","1039.478","634.847","1","13.5","0"
"ERELZI","Helicobacter infection","19","25","5","11951","1032.564","3874.218","1","70.0","1"
"ERELZI","Pemphigus","19","25","5","11951","1032.564","3874.218","1","70.0","1"
"ERELZI","Wound infection","15","29","4","11952","1018.977","3004.77","1","70.0","1"
"ALENDRONATE SODIUM","Onychomycosis","8","39","2","11951","1017.277","1427.988","1","80.5","1"
"ALENDRONATE SODIUM","Adjustment disorder with depressed mood","4","43","1","11952","1017.277","621.243","1","71.5","1"
"ALENDRONATE SODIUM","X-ray abnormal","4","43","1","11952","1017.277","621.243","1","70.0","1"
"SULFASALAZINE","Pemphigus","21","62","3","11914","1005.048","2513.167","1","67.0","1"
"SULFASALAZINE","Swollen joint count increased","7","76","1","11916","1005.048","756.342","1","73.0","1"
"XEMBIFY","Infusion site erythema","3","1","9","11987","999.667","1559.583","1","2.0","0"
"HYDROCODONE BITARTRATE AND IBUPROFEN","Dependence","4","0","12","11984","999.667","2293.702","1","11.0","0"
"OPANA","Dependence","4","0","12","11984","999.667","2293.702","1","11.0","0"
"ACETAMINOPHEN\TRAMADOL HYDROCHLORIDE","Onychomadesis","3","3","6","11988","999.5","1385.625","1","66.0","1"
"ALENDRONATE SODIUM\CHOLECALCIFEROL","Onychomycosis","4","4","6","11986","999.333","1833.256","1","77.5","1"
"ATOMOXETINE","Onychomycosis","4","4","6","11986","999.333","1833.256","1","90.0","1"
"FLUMETHASONE","Finger deformity","4","4","6","11986","999.333","1833.256","1","85.0","1"
"GOLD","Finger deformity","5","7","5","11983","999.0","2019.711","1","84.0","1"
"PHENYLEPHRINE HYDROCHLORIDE","Finger deformity","5","7","5","11983","999.0","2019.711","1","84.0","1"
"PHENYLEPHRINE HYDROCHLORIDE","Onychomycosis","5","7","5","11983","999.0","2019.711","1","89.0","1"
"PROGRAF","Immunosuppressant drug level increased","3","9","3","11985","999.0","1038.229","1","3.0","0"
"CALCIUM ASCORBATE","Adverse reaction","4","8","4","11984","999.0","1526.802","1","80.5","1"
"GOLD","Adverse reaction","4","8","4","11984","999.0","1526.802","1","78.5","1"
"FULVESTRANT","Breast cancer metastatic","3","15","2","11980","998.5","829.931","1","5.0","0"
"HERBALS","Female genital tract fistula","3","15","2","11980","998.5","829.931","1","92.0","1"
"HERBALS","Radiculopathy","3","15","2","11980","998.5","829.931","1","92.0","1"
"BERINERT","Breast cancer stage III","10","10","6","11974","998.333","3375.521","1","73.0","1"
"CALCIUM GLUBIONATE","Nail disorder","7","14","4","11975","998.25","2187.655","1","77.0","1"
"CETIRIZINE HYDROCHLORIDE\PSEUDOEPHEDRINE HYDROCHLORIDE","Bone erosion","4","20","2","11974","998.0","1016.385","1","46.5","1"
